               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.025595,            0.013632,            0.001288,               0.918,             0.84622,             0.89456,             0.60414,            0.032489,            0.013132,           0.0022534,            0.002179,            0.002179,            0.002179
                  81,            0.025331,            0.013294,           0.0013215,             0.94683,             0.82244,             0.89287,              0.6016,             0.03229,            0.012981,           0.0024868,             0.00208,             0.00208,             0.00208
                  82,            0.024484,             0.01302,           0.0011544,             0.91321,             0.84246,              0.8951,             0.60281,            0.032445,            0.013179,           0.0026596,            0.001981,            0.001981,            0.001981
                  83,            0.024689,            0.013498,           0.0012795,             0.94264,             0.83083,             0.89385,             0.61048,            0.032143,            0.012968,           0.0023482,            0.001882,            0.001882,            0.001882
                  84,            0.024892,            0.012844,           0.0013902,             0.94958,             0.82857,             0.89639,             0.60746,            0.032617,            0.013136,            0.002619,            0.001783,            0.001783,            0.001783
                  85,             0.02469,            0.013562,           0.0011803,             0.93644,             0.83634,             0.89795,             0.61398,            0.032287,             0.01305,           0.0020822,            0.001684,            0.001684,            0.001684
                  86,            0.024793,            0.013475,           0.0011586,              0.9549,             0.82098,             0.89471,             0.60943,            0.032718,            0.013245,           0.0023672,            0.001585,            0.001585,            0.001585
                  87,            0.024163,            0.012927,            0.001167,             0.95905,             0.81664,             0.89589,             0.61011,            0.032394,            0.013076,           0.0026851,            0.001486,            0.001486,            0.001486
                  88,             0.02502,            0.012924,           0.0012555,             0.94607,              0.8296,             0.89746,             0.61046,            0.032412,            0.013146,           0.0025026,            0.001387,            0.001387,            0.001387
                  89,            0.024014,            0.012974,           0.0012085,             0.95099,             0.83218,             0.89566,             0.60997,            0.032238,            0.013176,           0.0023714,            0.001288,            0.001288,            0.001288
                  90,            0.023579,            0.012621,           0.0010834,             0.95153,             0.82949,             0.89684,             0.61341,            0.032172,            0.013166,           0.0022473,            0.001189,            0.001189,            0.001189
                  91,            0.023922,            0.013063,           0.0011407,             0.93804,             0.83995,             0.89291,             0.61493,            0.031983,            0.013108,           0.0024667,             0.00109,             0.00109,             0.00109
                  92,             0.02394,            0.012965,           0.0010032,             0.94585,             0.82344,             0.89249,              0.6114,            0.032207,            0.013165,           0.0029328,            0.000991,            0.000991,            0.000991
                  93,             0.02446,            0.013411,           0.0012098,             0.94046,             0.83127,             0.89832,             0.61536,            0.031903,             0.01314,            0.002873,            0.000892,            0.000892,            0.000892
                  94,            0.024446,            0.012504,           0.0012312,             0.94943,             0.82906,             0.89919,             0.61127,            0.032221,            0.013163,           0.0026306,            0.000793,            0.000793,            0.000793
                  95,            0.023975,            0.012979,           0.0014153,              0.9432,             0.82036,             0.89212,             0.60712,            0.032393,            0.013281,           0.0028891,            0.000694,            0.000694,            0.000694
                  96,            0.023647,            0.012763,           0.0012575,             0.94587,              0.8296,             0.89622,             0.61106,              0.0322,            0.013281,           0.0022513,            0.000595,            0.000595,            0.000595
                  97,            0.023664,            0.012964,          0.00085712,             0.94194,             0.83637,             0.89862,               0.609,            0.032257,            0.013305,           0.0020945,            0.000496,            0.000496,            0.000496
                  98,            0.023226,            0.012412,           0.0010294,             0.94685,             0.83637,             0.89721,             0.60872,            0.032084,            0.013236,           0.0023046,            0.000397,            0.000397,            0.000397
                  99,            0.023317,             0.01265,          0.00092518,             0.94594,             0.83442,             0.89827,              0.6101,            0.032045,            0.013286,           0.0023998,            0.000298,            0.000298,            0.000298
